iter	Passed	Remaining
414	2809	3960
415	2820	3959
416	2825	3950
417	2835	3947
418	2849	3950
419	2854	3941
420	2857	3930
421	2863	3921
422	2866	3910
423	2871	3900
424	2875	3890
425	2880	3881
426	2884	3870
427	2889	3861
428	2892	3850
429	2897	3841
430	2901	3830
431	2906	3821
432	2912	3813
433	2915	3802
434	2920	3793
435	2925	3784
436	2929	3774
437	2934	3765
438	2940	3757
439	2945	3748
440	2949	3739
441	2955	3731
442	2959	3720
443	2962	3710
444	2971	3706
445	2979	3701
446	2994	3704
447	3001	3697
448	3010	3694
449	3024	3696
450	3033	3692
451	3042	3688
452	3049	3682
453	3063	3684
454	3072	3679
455	3080	3674
456	3091	3673
457	3097	3665
458	3111	3666
459	3119	3661
460	3129	3658
461	3139	3656
462	3157	3662
463	3165	3656
464	3175	3653
465	3183	3648
466	3194	3645
467	3203	3641
468	3207	3631
469	3212	3622
470	3215	3611
471	3221	3603
472	3225	3593
473	3228	3583
474	3234	3574
475	3237	3564
476	3241	3554
477	3246	3545
478	3250	3535
479	3255	3526
480	3259	3517
481	3265	3509
482	3269	3499
483	3274	3490
484	3277	3480
485	3282	3471
486	3286	3462
487	3291	3453
488	3297	3446
489	3303	3438
490	3308	3430
491	3312	3420
492	3317	3411
493	3321	3401
494	3326	3393
495	3329	3383
496	3334	3374
497	3337	3364
498	3342	3355
499	3346	3346
500	3351	3338
501	3358	3331
502	3373	3332
503	3379	3325
504	3393	3326
505	3408	3328
506	3416	3322
507	3426	3318
508	3440	3319
509	3449	3314
510	3460	3311
511	3471	3308
512	3478	3301
513	3482	3292
514	3487	3283
515	3505	3288
516	3509	3278
517	3519	3274
518	3525	3267
519	3531	3259
520	3535	3250
521	3543	3245
522	3547	3235
523	3558	3232
524	3563	3223
525	3566	3214
526	3576	3210
527	3583	3203
528	3594	3200
529	3609	3201
530	3619	3197
531	3631	3195
532	3642	3191
533	3648	3184
534	3655	3176
535	3659	3167
536	3663	3158
537	3667	3149
538	3671	3140
539	3675	3131
540	3679	3122
541	3683	3112
542	3688	3104
543	3692	3094
544	3697	3086
545	3704	3080
546	3709	3071
547	3713	3062
548	3717	3053
549	3721	3045
550	3725	3035
551	3730	3027
552	3734	3018
553	3739	3010
554	3743	3001
555	3748	2993
556	3753	2985
557	3757	2976
558	3761	2967
559	3766	2959
560	3770	2950
561	3774	2941
562	3779	2933
563	3783	2924
564	3787	2916
565	3791	2907
566	3798	2901
567	3806	2895
568	3817	2891
569	3823	2884
570	3836	2882
571	3842	2875
572	3851	2870
573	3861	2865
574	3867	2858
575	3881	2857
576	3892	2853
577	3897	2845
578	3905	2839
579	3917	2836
580	3923	2829
581	3937	2827
582	3947	2823
583	3958	2819
584	3965	2812
585	3974	2808
586	3987	2805
587	3994	2798
588	3999	2790
589	4003	2781
590	4011	2775
591	4021	2771
592	4031	2767
593	4041	2762
594	4062	2765
595	4070	2759
596	4081	2755
597	4088	2748
598	4102	2746
599	4112	2741
600	4123	2737
601	4136	2734
602	4147	2730
603	4157	2725
604	4165	2719
605	4174	2714
606	4188	2711
607	4196	2705
608	4208	2702
609	4219	2697
610	4225	2690
611	4237	2686
612	4251	2684
613	4262	2679
614	4268	2671
615	4278	2667
616	4289	2662
617	4298	2657
618	4308	2651
619	4321	2648
620	4331	2643
621	4343	2639
622	4351	2633
623	4357	2625
624	4361	2616
625	4364	2607
626	4369	2599
627	4373	2590
628	4377	2581
629	4381	2573
630	4385	2564
631	4390	2556
632	4397	2549
633	4407	2544
634	4416	2538
635	4420	2529
636	4424	2521
637	4428	2512
638	4433	2504
639	4437	2496
640	4443	2488
641	4446	2479
642	4451	2471
643	4454	2462
644	4459	2454
645	4465	2446
646	4476	2442
647	4484	2436
648	4490	2428
649	4495	2420
650	4499	2412
651	4505	2404
652	4509	2396
653	4513	2387
654	4517	2379
655	4530	2375
656	4536	2368
657	4550	2365
658	4556	2357
659	4568	2353
660	4576	2347
661	4590	2343
662	4598	2337
663	4607	2331
664	4619	2327
665	4628	2321
666	4640	2316
667	4646	2309
668	4649	2300
669	4654	2292
670	4657	2283
671	4662	2275
672	4666	2267
673	4672	2259
674	4677	2251
675	4681	2243
676	4692	2238
677	4697	2231
678	4705	2224
679	4716	2219
680	4721	2211
681	4726	2203
682	4730	2195
683	4735	2187
684	4739	2179
685	4744	2171
686	4748	2163
687	4753	2155
688	4758	2147
689	4762	2139
690	4767	2131
691	4770	2123
692	4775	2115
693	4779	2107
694	4782	2098
695	4787	2091
696	4793	2083
697	4807	2079
698	4811	2071
699	4815	2063
700	4821	2056
701	4825	2048
702	4829	2040
703	4833	2032
704	4838	2024
705	4842	2016
706	4846	2008
707	4850	2000
708	4855	1992
709	4858	1984
710	4863	1976
711	4867	1968
712	4871	1960
713	4876	1953
714	4881	1945
715	4885	1937
716	4890	1930
717	4895	1922
718	4899	1914
719	4903	1906
720	4907	1898
721	4912	1891
722	4916	1883
723	4921	1875
724	4929	1869
725	4940	1864
726	4947	1857
727	4956	1851
728	4966	1846
729	4977	1841
730	4996	1838
731	5007	1833
732	5014	1826
733	5017	1818
734	5022	1810
735	5026	1802
736	5030	1795
737	5034	1787
738	5038	1779
739	5042	1771
740	5046	1763
741	5051	1756
742	5061	1750
743	5071	1745
744	5080	1738
745	5086	1731
746	5096	1725
747	5099	1718
748	5105	1710
749	5108	1702
750	5112	1695
751	5117	1687
752	5120	1679
753	5125	1672
754	5130	1664
755	5134	1657
756	5139	1649
757	5143	1642
758	5147	1634
759	5152	1627
760	5156	1619
761	5160	1611
762	5165	1604
763	5171	1597
764	5181	1591
765	5188	1584
766	5191	1577
767	5196	1569
768	5203	1562
769	5208	1555
770	5220	1550
771	5228	1544
772	5237	1538
773	5241	1530
774	5249	1524
775	5259	1518
776	5269	1512
777	5275	1505
778	5278	1497
779	5283	1490
780	5287	1482
781	5291	1475
782	5319	1474
783	5323	1466
784	5328	1459
785	5332	1451
786	5337	1444
787	5341	1436
788	5344	1429
789	5354	1423
790	5359	1416
791	5363	1408
792	5368	1401
793	5373	1394
794	5380	1387
795	5385	1380
796	5389	1372
797	5394	1365
798	5398	1358
799	5403	1350
800	5408	1343
801	5417	1337
802	5423	1330
803	5433	1324
804	5437	1317
805	5442	1309
806	5446	1302
807	5450	1295
808	5455	1287
809	5458	1280
810	5464	1273
811	5468	1265
812	5472	1258
813	5476	1251
814	5481	1244
815	5493	1238
816	5497	1231
817	5502	1224
818	5508	1217
819	5512	1210
820	5517	1202
821	5528	1197
822	5534	1190
823	5539	1183
824	5544	1176
825	5548	1168
826	5555	1162
827	5559	1154
828	5578	1150
829	5590	1145
830	5603	1139
831	5615	1133
832	5625	1127
833	5633	1121
834	5644	1115
835	5658	1110
836	5664	1103
837	5676	1097
838	5688	1091
839	5699	1085
840	5704	1078
841	5708	1071
842	5713	1064
843	5718	1057
844	5722	1049
845	5727	1042
846	5731	1035
847	5736	1028
848	5740	1020
849	5751	1014
850	5759	1008
851	5770	1002
852	5778	995
853	5788	989
854	5795	982
855	5809	977
856	5814	970
857	5819	963
858	5823	955
859	5827	948
860	5832	941
861	5836	934
862	5840	927
863	5844	919
864	5849	912
865	5855	906
866	5861	899
867	5870	892
868	5874	885
869	5878	878
870	5884	871
871	5892	864
872	5904	859
873	5915	852
874	5928	846
875	5934	840
876	5946	833
877	5959	828
878	5965	821
879	5981	815
880	5985	808
881	5991	801
882	5994	794
883	5999	787
884	6008	780
885	6018	774
886	6025	767
887	6034	761
888	6049	755
889	6055	748
890	6068	742
891	6079	736
892	6091	729
893	6102	723
894	6110	716
895	6118	710
896	6132	704
897	6142	697
898	6150	691
899	6161	684
900	6167	677
901	6180	671
902	6188	664
903	6196	658
904	6210	651
905	6216	644
906	6229	638
907	6234	631
908	6238	624
909	6244	617
910	6247	610
911	6252	603
912	6255	596
913	6260	589
914	6264	581
915	6269	574
916	6273	567
917	6279	560
918	6283	553
919	6293	547
920	6303	540
921	6313	534
922	6319	527
923	6328	520
924	6343	514
925	6354	507
926	6364	501
927	6375	494
928	6383	487
929	6387	480
930	6391	473
931	6396	466
932	6399	459
933	6404	452
934	6408	445
935	6412	438
936	6416	431
937	6422	424
938	6426	417
939	6431	410
940	6434	403
941	6440	396
942	6443	389
943	6449	382
944	6452	375
945	6457	368
946	6462	361
947	6466	354
948	6470	347
949	6474	340
950	6479	333
951	6483	326
952	6488	319
953	6491	313
954	6497	306
955	6501	299
956	6505	292
957	6509	285
958	6519	278
959	6526	271
960	6531	265
961	6534	258
962	6539	251
963	6543	244
964	6547	237
965	6552	230
966	6557	223
967	6562	216
968	6566	210
969	6570	203
970	6574	196
971	6585	189
972	6597	183
973	6603	176
974	6615	169
975	6623	162
976	6637	156
977	6647	149
978	6657	142
979	6668	136
980	6673	129
981	6683	122
982	6693	115
983	6709	109
984	6714	102
985	6721	95
986	6724	88
987	6728	81
988	6733	74
989	6736	68
990	6741	61
991	6745	54
992	6751	47
993	6762	40
994	6768	34
995	6772	27
996	6777	20
997	6781	13
998	6785	6
999	6789	0
